========================================================================================Rover 1.0 201221
Voltage:  15.9
Standby
hdg:   0, bias:  98
{v   0}
msg: 09:35:39.192{LN7.1669}
msg: 09:35:39.199{LA241}
{lt  0.79}
msg: 09:35:40.191{LT21.9420}
msg: 09:35:40.202{LN7.1672}
msg: 09:35:40.209{LA241}
{lt  0.79}
msg: 09:35:41.200{LT21.9258}
msg: 09:35:41.211{LN7.1719}
msg: 09:35:41.218{LA241}
{lt  0.79}
msg: 09:35:42.211{LT21.9139}
msg: 09:35:42.220{LN7.1752}
msg: 09:35:42.229{LA241}
{lt  0.79}
msg: 09:35:43.221{LT21.9042}
msg: 09:35:43.232{LN7.1777}
msg: 09:35:43.239{LA241}
{lt  0.79}
msg: 09:35:44.231{LT21.8970}
msg: 09:35:44.241{LN7.1798}
msg: 09:35:44.249{LA241}
{lt  0.79}
msg: 09:35:45.241{LT21.8880}
msg: 09:35:45.250{LN7.1795}
msg: 09:35:45.259{LA241}
{lt  0.79}
msg: 09:35:46.248{LT21.8815}
msg: 09:35:46.260{LN7.1802}
msg: 09:35:46.267{LA241}
{lt  0.79}
msg: 09:35:47.259{LT21.8776}
msg: 09:35:47.269{LN7.1813}
msg: 09:35:47.276{LA241}
{lt  0.79}
msg: 09:35:48.268{LT21.8747}
msg: 09:35:48.278{LN7.1820}
msg: 09:35:48.285{LA241}
{lt  0.79}
msg: 09:35:49.277{LT21.8725}
msg: 09:35:49.287{LN7.1827}
msg: 09:35:49.295{LA241}
{lt  0.79}
msg: 09:35:50.290{LT21.8707}
msg: 09:35:50.300{LN7.1831}
msg: 09:35:50.309{LA241}
{lt  0.79}
msg: 09:35:51.301{LT21.8693}
msg: 09:35:51.310{LN7.1827}
msg: 09:35:51.319{LA241}
{lt  0.79}
msg: 09:35:52.309{LT21.8693}
msg: 09:35:52.320{LN7.1824}
msg: 09:35:52.327{LA241}
{lt  0.79}
msg: 09:35:53.319{LT21.8678}
msg: 09:35:53.329{LN7.1813}
msg: 09:35:53.336{LA241}
{lt  0.79}
msg: 09:35:54.328{LT21.8646}
msg: 09:35:54.338{LN7.1806}
msg: 09:35:54.347{LA241}
{lt  0.79}
msg: 09:35:55.338{LT21.8603}
msg: 09:35:55.349{LN7.1806}
msg: 09:35:55.356{LA241}
{lt  0.79}
msg: 09:35:56.350{LT21.8563}
